mode,tag,seed,train_datasets,test_dataset,n_train,n_test,attn_proxy_text,attn_proxy_egemap,attn_proxy_deep,accuracy,f1_weighted,f1_macro,auc_roc,brier_score,mcc,sensitivity,specificity,precision_dem,precision_ctrl
linguistic,AT->P,43,"['adress', 'taukadial']",pitt,240,495,,,,0.7292929292929293,0.7298788753334208,0.7280844155844156,0.822400092323925,0.1999714523553848,0.4577029189186154,0.7242647058823529,0.7354260089686099,0.76953125,0.6861924686192469
linguistic,AT->P,44,"['adress', 'taukadial']",pitt,240,495,,,,0.7070707070707071,0.7056270156788749,0.7066828496818567,0.801899235030335,0.2497932612895965,0.4398003677675688,0.6102941176470589,0.8251121076233184,0.8097560975609757,0.6344827586206897
acoustic_egemaps,AT->P,42,"['adress', 'taukadial']",pitt,240,495,,,,0.4828282828282828,0.440749514123112,0.4533218291630716,0.555608678448958,0.2609166502952575,0.0260970322005371,0.2279411764705882,0.7937219730941704,0.5740740740740741,0.4573643410852713
acoustic_egemaps,AT->P,43,"['adress', 'taukadial']",pitt,240,495,,,,0.5191919191919192,0.5042204909385951,0.4927579911821438,0.4973374439461884,0.2494520992040634,0.0032147411198613,0.6801470588235294,0.3228699551569506,0.5505952380952381,0.4528301886792453
acoustic_egemaps,AT->P,44,"['adress', 'taukadial']",pitt,240,495,,,,0.5070707070707071,0.4763663571744379,0.4865319865319865,0.5443814297019256,0.2538207471370697,0.0736780546789216,0.2794117647058823,0.7847533632286996,0.6129032258064516,0.4716981132075472
acoustic_w2v,AT->P,42,"['adress', 'taukadial']",pitt,240,495,,,,0.5191919191919192,0.4762626262626263,0.4886363636363636,0.5711306383539962,0.3370546698570251,0.1199761497995625,0.25,0.8475336322869955,0.6666666666666666,0.4809160305343511
acoustic_w2v,AT->P,43,"['adress', 'taukadial']",pitt,240,495,,,,0.498989898989899,0.4619810291086412,0.4734584634389047,0.5542238195726721,0.3251406252384186,0.0613119241607505,0.2536764705882353,0.7982062780269058,0.6052631578947368,0.4671916010498688
acoustic_w2v,AT->P,44,"['adress', 'taukadial']",pitt,240,495,,,,0.5434343434343434,0.5374718720846048,0.5408690941327117,0.5621950013189132,0.2962150573730469,0.1156434173934469,0.4264705882352941,0.6860986547085202,0.6236559139784946,0.4951456310679611
acoustic_hubert,AT->P,42,"['adress', 'taukadial']",pitt,240,495,,,,0.498989898989899,0.4471439813292848,0.4612575922480075,0.5511078871010288,0.2499390542507171,0.0777270187691825,0.213235294117647,0.8475336322869955,0.6304347826086957,0.4689826302729528
acoustic_hubert,AT->P,43,"['adress', 'taukadial']",pitt,240,495,,,,0.5474747474747474,0.5140473811303856,0.5244140960093333,0.6265991822738064,0.2711551487445831,0.1770389116138353,0.2977941176470588,0.852017937219731,0.7105263157894737,0.4986876640419947
